account_id,account_name,region,country,industry,account_tier,employee_size,estimated_annual_revenue,account_status,contract_start_date,contract_end_date,use_case,sales_rep_name,sales_manager_name
ACC-000001,Beta Inc,APJ,Australia,Healthcare & Life Sciences,Enterprise,5500,66000000,Churned,2020-01-02,2021-01-02,Machine Learning & AI,Zara Collins,Priya Sharma
ACC-000001,Beta Inc,APJ,Australia,Healthcare & Life Sciences,Enterprise,5500,66000000,Churned,2020-01-02,2021-01-02,Machine Learning & AI,Zen Phillips,Hiroshi Tanaka
ACC-000002,Apex Consulting,AMER,United States,Technology,Enterprise,6000,120000000,At Risk,2020-01-03,2021-01-04,Real-time Analytics,Finley White,Jennifer Rodriguez
ACC-000003,Matrix Services,AMER,United States,Retail & E-commerce,Enterprise,6500,130000000,Active,2020-01-04,2021-01-06,Data Engineering,Emery Young,David Thompson
ACC-000004,Quantum Solutions,EMEA,Spain,Manufacturing,Enterprise,7000,112000000,Active,2020-01-05,2021-01-08,Customer 360,Phoenix Wright,Lisa Wang
ACC-000005,Synergy Analytics,AMER,United States,Media & Entertainment,Enterprise,7500,150000000,Active,2020-01-06,2021-01-10,IoT Analytics,Cameron Lee,Jennifer Rodriguez
ACC-000005,Synergy Analytics,AMER,United States,Media & Entertainment,Enterprise,7500,150000000,Active,2020-01-06,2021-01-10,IoT Analytics,Casey Wilson,Sarah Johnson
ACC-000006,Catalyst Intelligence,EMEA,Germany,Telecommunications,Enterprise,8000,128000000,Active,2020-01-07,2021-01-12,Financial Analytics,Nova Roberts,Emma Larsson
ACC-000008,Zenith Associates,EMEA,Netherlands,Government & Public Sector,Enterprise,9000,144000000,Active,2020-01-09,2021-01-16,Supply Chain Analytics,Luna Perez,Emma Larsson
ACC-000009,Vortex Consulting,APJ,Australia,Education,Enterprise,9500,114000000,Active,2020-01-10,2021-01-18,Risk & Compliance,Kai Campbell,Hiroshi Tanaka
ACC-000011,Titan Solutions,APJ,Australia,Real Estate,Enterprise,10500,126000000,Active,2020-01-12,2021-01-22,Data Science Platform,Iris Stewart,Priya Sharma
ACC-000013,Vertex Intelligence,AMER,United States,Automotive,Enterprise,11500,230000000,Active,2020-01-14,2021-01-26,Machine Learning & AI,Morgan Davis,Sarah Johnson
ACC-000016,Quantum Consulting,LATAM,Chile,Healthcare & Life Sciences,Mid-Market,2100,4800000,Active,2020-01-17,2021-02-01,Customer 360,Vale Sanchez,Carlos Silva
ACC-000017,Synergy Services,EMEA,Netherlands,Technology,Mid-Market,2200,33500000,Active,2020-01-18,2021-02-03,IoT Analytics,Cloud Mitchell,James Mueller
ACC-000017,Synergy Services,EMEA,Netherlands,Technology,Mid-Market,2200,33500000,Active,2020-01-18,2021-02-03,IoT Analytics,Ocean Baker,James Mueller
ACC-000018,Catalyst Solutions,EMEA,France,Retail & E-commerce,Mid-Market,2300,35000000,Active,2020-01-19,2021-02-05,Financial Analytics,Nova Roberts,Emma Larsson
ACC-000019,Pinnacle Analytics,APJ,Singapore,Manufacturing,Mid-Market,2400,25000000,Active,2020-01-20,2021-02-07,Marketing Analytics,Atlas Edwards,Priya Sharma
ACC-000019,Pinnacle Analytics,APJ,Singapore,Manufacturing,Mid-Market,2400,25000000,Active,2020-01-20,2021-02-07,Marketing Analytics,Orion Evans,Hiroshi Tanaka
ACC-000020,Global Industries,EMEA,France,Media & Entertainment,Mid-Market,2500,38000000,New,2020-01-21,2021-02-09,Supply Chain Analytics,Luna Perez,Emma Larsson
ACC-000021,Sigma Ltd,AMER,Mexico,Telecommunications,Mid-Market,2600,52000000,Churned,2020-01-22,2021-02-11,Risk & Compliance,Emery Young,David Thompson
ACC-000022,Phoenix Associates,AMER,United States,Energy & Utilities,Mid-Market,2700,54000000,At Risk,2020-01-23,2021-02-13,Operational Analytics,Drew Garcia,Michael Chen
ACC-000023,Titan Consulting,AMER,Mexico,Government & Public Sector,Mid-Market,2800,56000000,Active,2020-01-24,2021-02-15,Data Science Platform,Cameron Lee,Jennifer Rodriguez
ACC-000023,Titan Consulting,AMER,Mexico,Government & Public Sector,Mid-Market,2800,56000000,Active,2020-01-24,2021-02-15,Data Science Platform,Casey Wilson,Sarah Johnson
ACC-000025,Vertex Solutions,AMER,United States,Transportation & Logistics,Mid-Market,3000,60000000,Active,2020-01-26,2021-02-19,Machine Learning & AI,Skyler Hall,David Thompson
ACC-000025,Vertex Solutions,AMER,United States,Transportation & Logistics,Mid-Market,3000,60000000,Active,2020-01-26,2021-02-19,Machine Learning & AI,Sage Thompson,Michael Chen
ACC-000025,Vertex Solutions,AMER,United States,Transportation & Logistics,Mid-Market,3000,60000000,Active,2020-01-26,2021-02-19,Machine Learning & AI,Avery Johnson,Michael Chen
ACC-000025,Vertex Solutions,AMER,United States,Transportation & Logistics,Mid-Market,3000,60000000,Active,2020-01-26,2021-02-19,Machine Learning & AI,Alex Rivera,Sarah Johnson
ACC-000026,Apex Analytics,AMER,Canada,Real Estate,Mid-Market,3100,62000000,Active,2020-01-27,2021-02-21,Real-time Analytics,Reese Lewis,David Thompson
ACC-000026,Apex Analytics,AMER,Canada,Real Estate,Mid-Market,3100,62000000,Active,2020-01-27,2021-02-21,Real-time Analytics,Riley Martinez,Michael Chen
ACC-000028,Quantum Partners,EMEA,Spain,Automotive,Mid-Market,3300,12500000,Active,2020-01-29,2021-02-25,Customer 360,Phoenix Wright,Lisa Wang
ACC-000032,Zenith Solutions,EMEA,Spain,Technology,Mid-Market,700,18500000,Active,2020-02-02,2021-03-05,Supply Chain Analytics,Luna Perez,Emma Larsson
ACC-000036,Nexus Associates,AMER,United States,Telecommunications,Mid-Market,1100,22000000,Active,2020-02-06,2021-03-13,Data Analytics & BI,Hayden Clark,Jennifer Rodriguez
ACC-000038,Apex Services,AMER,United States,Government & Public Sector,Mid-Market,1300,26000000,Active,2020-02-08,2021-03-17,Real-time Analytics,Finley White,Jennifer Rodriguez
ACC-000039,Matrix Solutions,AMER,United States,Education,Mid-Market,1400,28000000,Active,2020-02-09,2021-03-19,Data Engineering,Emery Young,David Thompson
ACC-000040,Global Solutions,AMER,United States,Transportation & Logistics,Mid-Market,1500,30000000,New,2020-02-10,2021-03-21,Customer 360,Drew Garcia,Michael Chen
ACC-000041,Beta Holdings,AMER,Canada,Real Estate,Mid-Market,1600,32000000,Churned,2020-02-11,2021-03-23,IoT Analytics,Cameron Lee,Jennifer Rodriguez
ACC-000041,Beta Holdings,AMER,Canada,Real Estate,Mid-Market,1600,32000000,Churned,2020-02-11,2021-03-23,IoT Analytics,Casey Wilson,Sarah Johnson
ACC-000042,Catalyst Partners,AMER,Canada,Insurance,Mid-Market,1700,34000000,At Risk,2020-02-12,2021-03-25,Financial Analytics,Blake Miller,Jennifer Rodriguez
ACC-000042,Catalyst Partners,AMER,Canada,Insurance,Mid-Market,1700,34000000,At Risk,2020-02-12,2021-03-25,Financial Analytics,Taylor Brooks,Sarah Johnson
ACC-000043,Pinnacle Associates,AMER,United States,Automotive,Mid-Market,1800,36000000,Active,2020-02-13,2021-03-27,Marketing Analytics,Skyler Hall,David Thompson
ACC-000043,Pinnacle Associates,AMER,United States,Automotive,Mid-Market,1800,36000000,Active,2020-02-13,2021-03-27,Marketing Analytics,Sage Thompson,Michael Chen
ACC-000043,Pinnacle Associates,AMER,United States,Automotive,Mid-Market,1800,36000000,Active,2020-02-13,2021-03-27,Marketing Analytics,Avery Johnson,Michael Chen
ACC-000043,Pinnacle Associates,AMER,United States,Automotive,Mid-Market,1800,36000000,Active,2020-02-13,2021-03-27,Marketing Analytics,Alex Rivera,Sarah Johnson
ACC-000044,Zenith Consulting,EMEA,Spain,Professional Services,Mid-Market,1900,36500000,Active,2020-02-14,2021-03-29,Supply Chain Analytics,Luna Perez,Emma Larsson
ACC-000045,Vortex Services,AMER,United States,Financial Services,Mid-Market,2000,40000000,Active,2020-02-15,2021-03-31,Risk & Compliance,Quinn Anderson,Michael Chen
ACC-000050,Apex Associates,APJ,Japan,Media & Entertainment,SMB,300,800000,Active,2020-02-20,2021-04-10,Real-time Analytics,Zara Collins,Priya Sharma
ACC-000050,Apex Associates,APJ,Japan,Media & Entertainment,SMB,300,800000,Active,2020-02-20,2021-04-10,Real-time Analytics,Zen Phillips,Hiroshi Tanaka
ACC-000052,Quantum Services,EMEA,United Kingdom,Energy & Utilities,SMB,350,1850000,Active,2020-02-22,2021-04-14,Customer 360,Phoenix Wright,Lisa Wang
ACC-000054,Catalyst Analytics,AMER,United States,Education,SMB,400,3800000,Active,2020-02-24,2021-04-18,Financial Analytics,Hayden Clark,Jennifer Rodriguez
ACC-000055,Pinnacle Intelligence,APJ,Japan,Transportation & Logistics,SMB,425,1300000,Active,2020-02-25,2021-04-20,Marketing Analytics,Neo Parker,Hiroshi Tanaka
ACC-000056,Zenith Partners,AMER,Mexico,Real Estate,SMB,450,4200000,Active,2020-02-26,2021-04-22,Supply Chain Analytics,Finley White,Jennifer Rodriguez
ACC-000057,Vortex Associates,APJ,Japan,Insurance,SMB,475,1500000,Active,2020-02-27,2021-04-24,Risk & Compliance,Zara Collins,Priya Sharma
ACC-000057,Vortex Associates,APJ,Japan,Insurance,SMB,475,1500000,Active,2020-02-27,2021-04-24,Risk & Compliance,Zen Phillips,Hiroshi Tanaka
ACC-000058,Phoenix Consulting,AMER,United States,Automotive,SMB,500,4600000,Active,2020-02-28,2021-04-26,Operational Analytics,Drew Garcia,Michael Chen
ACC-000060,Global Industries,APJ,Japan,Financial Services,SMB,50,600000,New,2020-03-01,2021-04-30,Data Analytics & BI,Iris Stewart,Priya Sharma
ACC-000061,Sigma Inc,EMEA,United Kingdom,Healthcare & Life Sciences,SMB,75,950000,Churned,2020-03-02,2021-05-02,Machine Learning & AI,Star Turner,Emma Larsson
ACC-000061,Sigma Inc,EMEA,United Kingdom,Healthcare & Life Sciences,SMB,75,950000,Churned,2020-03-02,2021-05-02,Machine Learning & AI,Sky Nelson,James Mueller
ACC-000061,Sigma Inc,EMEA,United Kingdom,Healthcare & Life Sciences,SMB,75,950000,Churned,2020-03-02,2021-05-02,Machine Learning & AI,Storm Adams,Lisa Wang
ACC-000061,Sigma Inc,EMEA,United Kingdom,Healthcare & Life Sciences,SMB,75,950000,Churned,2020-03-02,2021-05-02,Machine Learning & AI,Sage Green,Lisa Wang
ACC-000062,Apex Intelligence,APJ,Japan,Technology,SMB,100,800000,At Risk,2020-03-03,2021-05-04,Real-time Analytics,Neo Parker,Hiroshi Tanaka
ACC-000064,Quantum Associates,APJ,Japan,Manufacturing,SMB,150,1000000,Active,2020-03-05,2021-05-08,Customer 360,Zara Collins,Priya Sharma
ACC-000064,Quantum Associates,APJ,Japan,Manufacturing,SMB,150,1000000,Active,2020-03-05,2021-05-08,Customer 360,Zen Phillips,Hiroshi Tanaka
ACC-000067,Pinnacle Solutions,AMER,United States,Energy & Utilities,SMB,225,2400000,Active,2020-03-08,2021-05-14,Marketing Analytics,Morgan Davis,Sarah Johnson
ACC-000072,Nexus Consulting,AMER,United States,Insurance,SMB,350,3400000,Active,2020-03-13,2021-05-24,Data Analytics & BI,Hayden Clark,Jennifer Rodriguez
ACC-000074,Apex Solutions,EMEA,Germany,Professional Services,SMB,400,2900000,Active,2020-03-15,2021-05-28,Real-time Analytics,Rain Carter,James Mueller
ACC-000074,Apex Solutions,EMEA,Germany,Professional Services,SMB,400,2900000,Active,2020-03-15,2021-05-28,Real-time Analytics,River Scott,Lisa Wang
ACC-000074,Apex Solutions,EMEA,Germany,Professional Services,SMB,400,2900000,Active,2020-03-15,2021-05-28,Real-time Analytics,Rowan King,Lisa Wang
ACC-000075,Matrix Analytics,AMER,Canada,Financial Services,SMB,425,4000000,Active,2020-03-16,2021-05-30,Data Engineering,Emery Young,David Thompson
ACC-000076,Quantum Intelligence,AMER,United States,Healthcare & Life Sciences,SMB,450,4200000,Active,2020-03-17,2021-06-01,Customer 360,Drew Garcia,Michael Chen
ACC-000077,Synergy Partners,EMEA,France,Technology,SMB,475,1100000,Active,2020-03-18,2021-06-03,IoT Analytics,Cloud Mitchell,James Mueller
ACC-000077,Synergy Partners,EMEA,France,Technology,SMB,475,1100000,Active,2020-03-18,2021-06-03,IoT Analytics,Ocean Baker,James Mueller
ACC-000078,Catalyst Associates,APJ,Japan,Retail & E-commerce,SMB,500,1200000,Active,2020-03-19,2021-06-05,Financial Analytics,Zara Collins,Priya Sharma
ACC-000078,Catalyst Associates,APJ,Japan,Retail & E-commerce,SMB,500,1200000,Active,2020-03-19,2021-06-05,Financial Analytics,Zen Phillips,Hiroshi Tanaka
ACC-000079,Pinnacle Consulting,AMER,United States,Manufacturing,SMB,525,4800000,Active,2020-03-20,2021-06-07,Marketing Analytics,Skyler Hall,David Thompson
ACC-000079,Pinnacle Consulting,AMER,United States,Manufacturing,SMB,525,4800000,Active,2020-03-20,2021-06-07,Marketing Analytics,Sage Thompson,Michael Chen
ACC-000079,Pinnacle Consulting,AMER,United States,Manufacturing,SMB,525,4800000,Active,2020-03-20,2021-06-07,Marketing Analytics,Avery Johnson,Michael Chen
ACC-000079,Pinnacle Consulting,AMER,United States,Manufacturing,SMB,525,4800000,Active,2020-03-20,2021-06-07,Marketing Analytics,Alex Rivera,Sarah Johnson
ACC-000080,Global Solutions,AMER,United States,Media & Entertainment,SMB,50,1000000,New,2020-03-21,2021-06-09,Supply Chain Analytics,Reese Lewis,David Thompson
ACC-000080,Global Solutions,AMER,United States,Media & Entertainment,SMB,50,1000000,New,2020-03-21,2021-06-09,Supply Chain Analytics,Riley Martinez,Michael Chen
ACC-000085,Vertex Associates,AMER,United States,Transportation & Logistics,SMB,175,2000000,Active,2020-03-26,2021-06-19,Machine Learning & AI,Morgan Davis,Sarah Johnson
ACC-000088,Quantum Solutions,LATAM,Chile,Automotive,SMB,250,1040000,Active,2020-03-29,2021-06-25,Customer 360,Vale Sanchez,Carlos Silva
ACC-000090,Catalyst Intelligence,EMEA,Spain,Financial Services,SMB,300,800000,Active,2020-03-31,2021-06-29,Financial Analytics,Nova Roberts,Emma Larsson
ACC-000092,Zenith Associates,AMER,Mexico,Technology,SMB,350,3400000,Active,2020-04-02,2021-07-03,Supply Chain Analytics,Finley White,Jennifer Rodriguez
ACC-000093,Vortex Consulting,APJ,Singapore,Retail & E-commerce,SMB,375,1500000,Active,2020-04-03,2021-07-05,Risk & Compliance,Kai Campbell,Hiroshi Tanaka
ACC-000094,Phoenix Services,LATAM,Chile,Manufacturing,SMB,400,720000,Active,2020-04-04,2021-07-07,Operational Analytics,Vale Sanchez,Carlos Silva
ACC-000095,Titan Solutions,AMER,Canada,Media & Entertainment,SMB,425,4000000,Active,2020-04-05,2021-07-09,Data Science Platform,Cameron Lee,Jennifer Rodriguez
ACC-000095,Titan Solutions,AMER,Canada,Media & Entertainment,SMB,425,4000000,Active,2020-04-05,2021-07-09,Data Science Platform,Casey Wilson,Sarah Johnson
ACC-000096,Nexus Analytics,APJ,Singapore,Telecommunications,SMB,450,600000,Active,2020-04-06,2021-07-11,Data Analytics & BI,Atlas Edwards,Priya Sharma
ACC-000096,Nexus Analytics,APJ,Singapore,Telecommunications,SMB,450,600000,Active,2020-04-06,2021-07-11,Data Analytics & BI,Orion Evans,Hiroshi Tanaka
ACC-000097,Vertex Intelligence,APJ,Australia,Energy & Utilities,SMB,475,700000,Active,2020-04-07,2021-07-13,Machine Learning & AI,Neo Parker,Hiroshi Tanaka
ACC-000098,Apex Partners,LATAM,Chile,Government & Public Sector,SMB,500,1040000,Active,2020-04-08,2021-07-15,Real-time Analytics,Rio Rogers,Carlos Silva
ACC-000098,Apex Partners,LATAM,Chile,Government & Public Sector,SMB,500,1040000,Active,2020-04-08,2021-07-15,Real-time Analytics,Cruz Morris,Carlos Silva
ACC-000099,Matrix Associates,AMER,Canada,Education,SMB,525,4800000,Active,2020-04-09,2021-07-17,Data Engineering,Quinn Anderson,Michael Chen
ACC-000100,Global Industries,AMER,United States,Transportation & Logistics,Enterprise,5000,100000000,New,2020-04-10,2021-07-19,Customer 360,Parker Allen,David Thompson
ACC-000102,Catalyst Solutions,APJ,Japan,Insurance,Enterprise,6000,132000000,At Risk,2020-04-12,2021-07-23,Financial Analytics,Iris Stewart,Priya Sharma
ACC-000108,Nexus Services,AMER,Canada,Retail & E-commerce,Enterprise,9000,180000000,Active,2020-04-18,2021-08-04,Data Analytics & BI,Hayden Clark,Jennifer Rodriguez
